,city_code,city,pre_code
21123,1101,札幌市 中央区,1
21136,1102,札幌市 北区,1
21434,1104,札幌市 白石区,1
21149,1107,札幌市 西区,1
21298,1108,札幌市 厚別区,1
21462,1109,札幌市 手稲区,1
20945,1202,函館市,1
20899,1203,小樽市,1
20856,1204,旭川市,1
20938,1205,室蘭市,1
21019,1206,釧路市,1
21482,1207,帯広市,1
20957,1208,北見市,1
21001,1209,夕張市,1
20908,1210,岩見沢市,1
21067,1211,網走市,1
20940,1213,苫小牧市,1
21090,1214,稚内市,1
20917,1215,美唄市,1
21029,1216,芦別市,1
20898,1217,江別市,1
21027,1218,赤平市,1
21078,1220,士別市,1
21070,1221,名寄市,1
22064,1222,三笠市,1
20979,1224,千歳市,1
20901,1225,滝川市,1
20904,1226,砂川市,1
20910,1228,深川市,1
21612,1229,富良野市,1
20932,1230,登別市,1
21166,1231,恵庭市,1
20936,1233,伊達市,1
20977,1234,北広島市,1
20913,1236,北斗市,1
21088,1303,当別町,1
20906,1334,木古内町,1
20946,1337,七飯町,1
20863,1343,鹿部町,1
20924,1345,森町,1
21130,1346,八雲町,1
20935,1347,長万部町,1
20926,1393,黒松内町,1
20923,1394,蘭越町,1
20934,1395,ニセコ町,1
22385,1397,留寿都村,1
21546,1400,倶知安町,1
21330,1407,仁木町,1
21173,1408,余市町,1
20915,1424,奈井江町,1
21145,1427,由仁町,1
21797,1429,栗山町,1
20905,1433,妹背牛町,1
20949,1434,秩父別町,1
21150,1438,沼田町,1
21008,1454,当麻町,1
21079,1455,比布町,1
21013,1456,愛別町,1
20982,1457,上川町,1
21172,1459,美瑛町,1
20953,1460,上富良野町,1
21288,1461,中富良野町,1
21075,1464,和寒町,1
21805,1465,剣淵町,1
21068,1469,美深町,1
21085,1470,音威子府村,1
21083,1471,中川町,1
21094,1516,豊富町,1
21084,1520,幌延町,1
20976,1543,美幌町,1
21064,1545,斜里町,1
21045,1546,清里町,1
20866,1547,小清水町,1
20966,1555,遠軽町,1
20955,1564,大空町,1
20930,1571,豊浦町,1
21212,1578,白老町,1
21728,1581,厚真町,1
21222,1584,洞爺湖町,1
20931,1585,安平町,1
21561,1586,むかわ町,1
21327,1635,新得町,1
21028,1636,清水町,1
21479,1637,芽室町,1
21031,1643,幕別町,1
21545,1644,池田町,1
21017,1645,豊頃町,1
21020,1649,浦幌町,1
21053,1661,釧路町,1
21016,1662,厚岸町,1
21041,1664,標茶町,1
21042,1665,弟子屈町,1
21018,1668,白糠町,1
19081,2201,青森市,2
18816,2202,弘前市,2
19334,2204,黒石市,2
19137,2205,五所川原市,2
20897,2208,むつ市,2
19386,2209,つがる市,2
19335,2210,平川市,2
19902,2301,平内町,2
21368,2304,蓬田村,2
21369,2307,外ヶ浜町,2
19866,2321,鰺ヶ沢町,2
19138,2323,深浦町,2
19141,2361,藤崎町,2
19085,2362,大鰐町,2
19338,2367,田舎館村,2
19547,2381,板柳町,2
19145,2384,鶴田町,2
19545,2387,中泊町,2
20895,2401,野辺地町,2
21310,2406,横浜町,2
19534,3206,北上市,3
19150,3214,八幡平市,3
20251,3301,雫石町,3
19694,3366,西和賀町,3
18833,4101,仙台市 青葉区,4
19276,4102,仙台市 宮城野区,4
18824,4103,仙台市 若林区,4
18818,4104,仙台市 太白区,4
18817,4206,白石市,4
18823,4207,名取市,4
19128,4208,角田市,4
18853,4209,多賀城市,4
18820,4211,岩沼市,4
19244,4215,大崎市,4
18821,4321,大河原町,4
19129,4323,柴田町,4
18830,4361,亘理町,4
20534,4362,山元町,4
19599,4406,利府町,4
20339,4505,美里町,4
19101,5201,秋田市,5
19099,5202,能代市,5
19096,5203,横手市,5
19089,5204,大館市,5
19961,5206,男鹿市,5
19918,5207,湯沢市,5
19151,5209,鹿角市,5
19159,5210,由利本荘市,5
19102,5211,潟上市,5
19098,5212,大仙市,5
19351,5213,北秋田市,5
19164,5214,にかほ市,5
19870,5215,仙北市,5
19107,5348,三種町,5
19146,5349,八峰町,5
20681,5361,五城目町,5
19104,5363,八郎潟町,5
19103,5366,井川町,5
19889,5434,美郷町,5
19109,6201,山形市,6
19048,6202,米沢市,6
19200,6203,鶴岡市,6
19179,6204,酒田市,6
19258,6205,新庄市,6
19280,6206,寒河江市,6
19060,6207,上山市,6
19108,6208,村山市,6
19359,6209,長井市,6
19112,6210,天童市,6
19114,6211,東根市,6
19778,6212,尾花沢市,6
19055,6213,南陽市,6
19282,6301,山辺町,6
19279,6302,中山町,6
19294,6324,大江町,6
19835,6341,大石田町,6
19254,6362,最上町,6
19822,6363,舟形町,6
19113,6364,真室川町,6
19700,6366,鮭川村,6
19257,6367,戸沢村,6
19053,6381,高畠町,6
19298,6382,川西町,6
19319,6401,小国町,6
19364,6402,白鷹町,6
19308,6403,飯豊町,6
19181,6428,庄内町,6
19172,6461,遊佐町,6
19118,7201,福島市,7
19065,7202,会津若松市,7
13972,7203,郡山市,7
13957,7204,いわき市,7
14054,7205,白河市,7
13980,7207,須賀川市,7
19068,7208,喜多方市,7
19259,7209,相馬市,7
19383,7210,二本松市,7
13959,7211,田村市,7
19061,7212,南相馬市,7
20427,7213,伊達市,7
14053,7214,本宮市,7
19614,7301,桑折町,7
19130,7303,国見町,7
20022,7322,大玉村,7
14058,7342,鏡石町,7
16964,7362,下郷町,7
11089,7367,只見町,7
14051,7368,南会津町,7
19637,7405,西会津町,7
19075,7407,磐梯町,7
19066,7408,猪苗代町,7
18962,7421,会津坂下町,7
19074,7422,湯川村,7
18814,7423,柳津町,7
13406,7444,三島町,7
15078,7445,金山町,7
14624,7447,会津美里町,7
18220,7461,西郷村,7
15088,7464,泉崎村,7
15220,7466,矢吹町,7
13990,7481,棚倉町,7
13999,7482,矢祭町,7
14026,7483,塙町,7
13987,7501,石川町,7
13983,7502,玉川村,7
13979,7504,浅川町,7
13967,7521,三春町,7
13958,7522,小野町,7
14335,7541,広野町,7
15022,7542,楢葉町,7
18328,7545,大熊町,7
14079,7547,浪江町,7
19263,7561,新地町,7
13028,8201,水戸市,8
14087,8202,日立市,8
14728,8203,土浦市,8
18093,8204,古河市,8
13283,8205,石岡市,8
14955,8207,結城市,8
13162,8208,龍ケ崎市,8
14498,8210,下妻市,8
14499,8211,常総市,8
14011,8212,常陸太田市,8
14086,8214,高萩市,8
14082,8215,北茨城市,8
14104,8216,笠間市,8
13926,8217,取手市,8
13925,8219,牛久市,8
13026,8221,ひたちなか市,8
14923,8222,鹿嶋市,8
14509,8224,守谷市,8
14000,8225,常陸大宮市,8
14001,8226,那珂市,8
14109,8227,筑西市,8
14608,8230,かすみがうら市,8
16586,8231,桜川市,8
16593,8232,神栖市,8
14258,8234,鉾田市,8
14504,8235,つくばみらい市,8
13328,8236,小美玉市,8
14912,8341,東海村,8
13020,8364,大子町,8
15138,8443,阿見町,8
14069,9201,宇都宮市,9
14128,9202,足利市,9
13029,9203,栃木市,9
14134,9204,佐野市,9
14102,9205,鹿沼市,9
14103,9206,日光市,9
14121,9208,小山市,9
14796,9209,真岡市,9
16492,9210,大田原市,9
14061,9211,矢板市,9
14066,9213,那須塩原市,9
14068,9214,さくら市,9
14098,9215,那須烏山市,9
17642,9216,下野市,9
18243,9301,上三川町,9
14798,9342,益子町,9
14801,9343,茂木町,9
14800,9344,市貝町,9
14194,9361,壬生町,9
14070,9364,野木町,9
14936,9386,高根沢町,9
14077,9407,那須町,9
14352,10201,前橋市,10
13036,10202,高崎市,10
14141,10203,桐生市,10
14139,10204,伊勢崎市,10
14306,10205,太田市,10
11384,10206,沼田市,10
14312,10207,館林市,10
13037,10208,渋川市,10
13019,10209,藤岡市,10
14342,10210,富岡市,10
15989,10211,安中市,10
14137,10212,みどり市,10
14192,10345,吉岡町,10
14347,10382,下仁田町,10
14344,10384,甘楽町,10
11510,10421,中之条町,10
12923,10424,長野原町,10
12005,10425,嬬恋村,10
11992,10429,東吾妻町,10
11383,10449,みなかみ町,10
14243,10521,板倉町,10
14479,10522,明和町,10
14879,10524,大泉町,10
14885,10525,邑楽町,10
13948,11101,さいたま市 西区,11
13954,11102,さいたま市 北区,11
14630,11103,さいたま市 大宮区,11
14976,11104,さいたま市 見沼区,11
15246,11110,さいたま市 岩槻区,11
14260,11201,川越市,11
13263,11202,熊谷市,11
14538,11206,行田市,11
14556,11207,秩父市,11
13046,11208,所沢市,11
13048,11209,飯能市,11
14236,11210,加須市,11
13103,11211,本庄市,11
16845,11212,東松山市,11
13953,11214,春日部市,11
14428,11215,狭山市,11
14545,11216,羽生市,11
14530,11217,鴻巣市,11
14529,11218,深谷市,11
14979,11219,上尾市,11
14320,11222,越谷市,11
13058,11225,入間市,11
18674,11227,朝霞市,11
18045,11228,志木市,11
13321,11230,新座市,11
13165,11231,桶川市,11
14072,11232,久喜市,11
13207,11233,北本市,11
14748,11235,富士見市,11
13385,11238,蓮田市,11
13956,11239,坂戸市,11
14611,11240,幸手市,11
14587,11241,鶴ヶ島市,11
13112,11242,日高市,11
14513,11245,ふじみ野市,11
14615,11246,白岡市,11
13116,11326,毛呂山町,11
13092,11327,越生町,11
14616,11341,滑川町,11
17514,11342,嵐山町,11
13119,11343,小川町,11
13133,11349,ときがわ町,11
18813,11361,横瀬町,11
14553,11362,皆野町,11
14564,11363,長瀞町,11
13105,11381,美里町,11
13139,11383,神川町,11
17638,11385,上里町,11
13095,11408,寄居町,11
14918,11442,宮代町,11
14239,11464,杉戸町,11
15850,12101,千葉市 中央区,12
17185,12102,千葉市 花見川区,12
13952,12103,千葉市 稲毛区,12
15770,12104,千葉市 若葉区,12
16095,12105,千葉市 緑区,12
14476,12202,銚子市,12
13922,12203,市川市,12
13947,12204,船橋市,12
13945,12207,松戸市,12
15253,12208,野田市,12
13927,12211,成田市,12
15756,12212,佐倉市,12
15809,12213,東金市,12
13534,12215,旭市,12
14691,12216,習志野市,12
14373,12217,柏市,12
15378,12219,市原市,12
13944,12220,流山市,12
13950,12221,八千代市,12
